nickname,question_or_request,correct_reply,others
nicknameADMIN,Tell me information about users in the school schoolname344263,the user with the id 1786 nickname 'nickname3487828' and username 'name7736854' is a team leader at school schoolname344263 with an upload limit of 100 and viewing problem of 5.,
nicknameADMIN,Tell me information about users of the school schoolname344263,the user with the id 1786 nickname 'nickname3487828' and username 'name7736854' is a team leader at school schoolname344263 with an upload limit of 100 and viewing problem of 5.,
nicknameADMIN,Tell me information about users who are in the school schoolname344263,the user with the id 1786 nickname 'nickname3487828' and username 'name7736854' is a team leader at school schoolname344263 with an upload limit of 100 and viewing problem of 5.,
nicknameADMIN,Tell me information about users within the school schoolname344263,the user with the id 1786 nickname 'nickname3487828' and username 'name7736854' is a team leader at school schoolname344263 with an upload limit of 100 and viewing problem of 5.,
nickname2875759,Please complete my application my name is Name240393 and my marking subject should be 5,your application has been successfully completed and your marking subject has been set to 5.,
nickname2875759,Please complete my application my name is Name240393 with marking subject should be 5,your application has been successfully completed and your marking subject has been set to 5.,
nickname2875759,Please complete my application with name is Name240393 and my marking subject should be 5,your application has been successfully completed and your marking subject has been set to 5.,
nickname2875759,Please complete my application: my name is Name240393 and my marking subject should be 5,your application has been successfully completed and your marking subject has been set to 5.,
nickname2875759,Please complete my application my name is Name240393.,the operation failed because the arguments provided were not complete.,
nickname2875759,Please complete my application with name Name240393.,the operation failed because the arguments provided were not complete.,
nickname2875759,Please complete my application! my name is Name240393.,the operation failed because the arguments provided were not complete.,
nickname2875759,Please complete my application. my name is Name240393.,the operation failed because the arguments provided were not complete.,
nickname1521142,Please change my marking subject into 8.,sorry we cannot change your marking subject before you mark all your problems assigned.,exist problems to be marked
nickname1521142,Please change my marking subject to 8.,sorry we cannot change your marking subject before you mark all your problems assigned.,
nickname1521142,Change my marking subject into 8.,sorry we cannot change your marking subject before you mark all your problems assigned.,
nickname1521142,Modify the viewing problem of me into 8 please.,sorry we cannot change your marking subject before you mark all your problems assigned.,
nickname2875759,Please change my marking subject. ,sorry you have not provided enough arguments,
nickname2875759,Please modify my marking subject. ,sorry you have not provided enough arguments,
nickname2875759,Please change the problem index I view,sorry you have not provided enough arguments,
nickname2875759,Please change my viewing problem idx,sorry you have not provided enough arguments,
nickname2875759,Please change my marking subject into 9.,successfully changed your marking subject into 9.,
nickname2875759,Please change the subject I mark into 9., successfully changed your marking subject into 9.,
nickname2875759,Please change the problem I view into 9., successfully changed your marking subject into 9.,
nickname2875759,Please change my subject to mark into 9., successfully changed your marking subject into 9.,
nickname1521142,Please change me into an arbiter,failed because you have not corrected all the test papers,
nickname1521142,Please make me an arbiter,failed because you have not corrected all the test papers,
